Year,Winner,Score,Runner-Up,Venue
Spain,Real Madrid,4–3,Reims,France
Spain,Real Madrid,2–0,Fiorentina,Italy
Spain,Real Madrid,3–2†,Milan,Italy
Spain,Real Madrid,2–0,Reims,France
Spain,Real Madrid,7–3,Eintracht Frankfurt,West Germany
Portugal,Benfica,3–2,Barcelona,Spain
Portugal,Benfica,5–3,Real Madrid,Spain
Italy,Milan,2–1,Benfica,Portugal
Italy,Inter Milan,3–1,Real Madrid,Spain
Italy,Inter Milan,1–0,Benfica,Portugal
Spain,Real Madrid,2–1,Partizan,Yugoslavia
Scotland,Celtic,2–1,Inter Milan,Italy
England,Manchester United,4–1†,Benfica,Portugal
Italy,Milan,4–1,Ajax,Netherlands
Netherlands,Feyenoord,2–1†,Celtic,Scotland
Netherlands,Ajax,2–0,Panathinaikos,Greece
Netherlands,Ajax,2–0,Inter Milan,Italy
Netherlands,Ajax,1–0,Juventus,Italy
West Germany,Bayern Munich,1–1,Atlético Madrid,Spain
West Germany,Bayern Munich,2–0,Leeds United,England
West Germany,Bayern Munich,1–0,Saint-Étienne,France
England,Liverpool,3–1,Borussia Mönchengladbach,West Germany
England,Liverpool,1–0,Club Brugge,Belgium
England,Nottingham Forest,1–0,Malmö FF,Sweden
England,Nottingham Forest,1–0,Hamburger SV,West Germany
England,Liverpool,1–0,Real Madrid,Spain
England,Aston Villa,1–0,Bayern Munich,West Germany
West Germany,Hamburger SV,1–0,Juventus,Italy
England,Liverpool,1–1*[a],Roma,Italy
Italy,Juventus,1–0,Liverpool,England
Romania,Steaua București,0–0*[b],Barcelona,Spain
Portugal,Porto,2–1,Bayern Munich,West Germany
Netherlands,PSV Eindhoven,0–0*[c],Benfica,Portugal
Italy,Milan,4–0,Steaua București,Romania
Italy,Milan,1–0,Benfica,Portugal
Yugoslavia,Red Star Belgrade,0–0*[d],Marseille,France
Spain,Barcelona,1–0†,Sampdoria,Italy
France,Marseille,1–0,Milan,Italy
Italy,Milan,4–0,Barcelona,Spain
Netherlands,Ajax,1–0,Milan,Italy
Italy,Juventus,1–1*[e],Ajax,Netherlands
Germany,Borussia Dortmund,3–1,Juventus,Italy
Spain,Real Madrid,1–0,Juventus,Italy
England,Manchester United,2–1,Bayern Munich,Germany
Spain,Real Madrid,3–0,Valencia,Spain
Germany,Bayern Munich,1–1*[f],Valencia,Spain
Spain,Real Madrid,2–1,Bayer Leverkusen,Germany
Italy,Milan,0–0*[g],Juventus,Italy
Portugal,Porto,3–0,Monaco,France
England,Liverpool,3–3*[h],Milan,Italy
Spain,Barcelona,2–1,Arsenal,England
Italy,Milan,2–1,Liverpool,England
England,Manchester United,1–1*[i],Chelsea,England
Spain,Barcelona,2–0,Manchester United,England
Italy,Inter Milan,2–0,Bayern Munich,Germany
Spain,Barcelona,3–1,Manchester United,England
England,Chelsea,1–1*[j],Bayern Munich,Germany
Germany,Bayern Munich,2–1,Borussia Dortmund,Germany
Spain,Real Madrid,4–1†,Atlético Madrid,Spain
Spain,Barcelona,3–1,Juventus,Italy
Spain,Real Madrid,1–1*[k],Atlético Madrid,Spain
Spain,Real Madrid,4–1,Juventus,Italy
Spain,Real Madrid,3–1,Liverpool,England
England,Liverpool,2–0,Tottenham Hotspur,England
Germany,Bayern Munich,1–0,Paris Saint-Germain,France
England,Chelsea,1–0,Manchester City,England
Spain,Real Madrid,1–0,Liverpool,England
England,Manchester City,1–0,Inter Milan,Italy
Spain,Real Madrid,2–0,Borussia Dortmund,Germany
France,Paris Saint-Germain,5–0,Inter Milan,Italy
